name,format,version_current,python_min,outdated_python_min,optimize_count,optimize_codes,validate_passed,validate_errors,validate_warnings,version_latest,is_outdated,cve_count,cve_ids,error
a2a-sdk,v1,1.0.0,3.10,,0,,,,,,,,,
a2wsgi,v0,1.10.7,,,0,,,,,,,,,
acachecontrol,v0,0.3.5,,,0,,,,,,,,,
acp-mcp,v1,0.4.2,3.10,,0,,,,,,,,,
acp-mcp-server,v1,0.0.5,3.11,,0,,,,,,,,,
acp-sdk,v1,1.0.3,3.11,,0,,,,,,,,,
actionlint,v1,1.7.7,,,0,,,,,,,,,
acv-exp,v0,1.2.3,,,0,,,,,,,,,
adk-agui-middleware,v0,1.5.1,3.11,,0,,,,,,,,,
ag-ui-crewai,v1,0.2.0,3.10,,0,,,,,,,,,
ag-ui-langgraph,both,0.0.31,3.10,,0,,,,,,,,,
ag-ui-protocol,both,0.1.13,3.10,,0,,,,,,,,,
ag_ui_adk,v1,0.6.0,3.10,,0,,,,,,,,,
ag_ui_strands,v1,0.1.7,3.12,,0,,,,,,,,,
agent-framework-a2a,v0,1.0.0b251211,3.10,,0,,,,,,,,,
agent-skills,v0,0.5.0,,,0,,,,,,,,,
agents-at-scale-ark,both,0.1.43,3.12,,0,,,,,,,,,
agntcy-acp,v1,1.5.2,3.10,,0,,,,,,,,,
ahlive,v0,1.0.4.post1,,,0,,,,,,,,,
ai-storyteller-cli,v1,0.3.0,3.10,,0,,,,,,,,,
aif360,v0,0.5.0,,,0,,,,,,,,,
aimodelshare,v0,0.1.5,,,0,,,,,,,,,
aiobotocore,v0,2.8.0,,,0,,,,,,,,,
aiohttp-asgi-connector,v1,1.1.2,3.10,,0,,,,,,,,,
airflow,v0,3.1.3,3.10,,0,,,,,,,,,
airflow-code-editor,v0,7.4.1,,,0,,,,,,,,,
airflow-provider-great-expectations,v0,0.2.8,,,0,,,,,,,,,
airfly,v0,1.0.0,,,0,,,,,,,,,
aix360,v0,0.2.1,,,0,,,,,,,,,
alang,v0,0.0.4,3.10,,0,,,,,,,,,
alt-profanity-check,both,1.8.0,3.11,,0,,,,,,,,,
amqp,v0,5.2.0,,,0,,,,,,,,,
amundsen-common,v0,0.32.0,,,0,,,,,,,,,
amundsen-databuilder,v0,7.4.3,,,0,,,,,,,,,
amundsen-frontend,v0,4.2.0,,,0,,,,,,,,,
amundsen-metadata,v0,3.13.0,,,0,,,,,,,,,
amundsen-search,v0,4.2.0,,,0,,,,,,,,,
anaconda-catalogs,v0,0.2.0,,,0,,,,,,,,,
anaconda-project,v0,0.11.1,,,0,,,,,,,,,
analytics-python,v0,1.4.post1,,,0,,,,,,,,,
anchor-exp,v0,0.0.2.0,,,0,,,,,,,,,
ansi2html,v0,1.9.1,,,0,,,,,,,,,
antlr4-tools,v0,0.2.1,,,0,,,,,,,,,
apache-airflow,v0,2.7.0,,,0,,,,,,,,,
apache-airflow-providers-apache-livy,v0,3.5.4,,,0,,,,,,,,,
apache-airflow-providers-openlineage,v0,1.0.1,,,0,,,,,,,,,
apache-atlas,v0,0.0.16,,,0,,,,,,,,,
apache-superset,both,4.1.2,3.10,,0,,,,,,,,,
apache-tika,v0,3.2.3,,,0,,,,,,,,,
apache-tika-all,v0,,,,0,,,,,,,,,
apitally,v1,0.23.0,3.10,,0,,,,,,,,,
appdynamics,v0,25.1.0.7425,3.8,True,0,,,,,,,,,
appdynamics-bindeps-linux-x64,v0,24.12.0,3.12,,0,,,,,,,,,
appdynamics-proxysupport-linux-x64,v0,11.72.3,3.7,True,0,,,,,,,,,
apple-fm-sdk,v1,0.1.1,3.10,,0,,,,,,,,,
argo-jupyter-scheduler,v1,2024.6.1,,,0,,,,,,,,,
argon2-cffi,v0,23.1.0,,,0,,,,,,,,,
ark-sdk,both,0.1.43,3.12,,0,,,,,,,,,
ark-sdk-builder,both,0.1.43,3.12,,0,,,,,,,,,
arrow-flight-client-examples,v0,1.0.0,,,0,,,,,,,,,
askbot,v0,0.12.2,,,0,,,,,,,,,
assertpy,v0,1.1,,,0,,,,,,,,,
ast-decompiler,v0,0.7.0,,,0,,,,,,,,,
asttrs,v0,1.0.0,,,0,,,,,,,,,
asyncio,both,4.0.0,,,0,,,,,,,,,
asyncmock,v0,0.4.2,,,0,,,,,,,,,
atlassian-jwt,v0,3.0.0,,,0,,,,,,,,,
atlassian-jwt-auth,v0,18.0.1,,,0,,,,,,,,,
auditwheel,v0,5.4.0,,,0,,,,,,,,,
auditwheel-emscripten,v0,0.2.3,,,0,,,,,,,,,
authlib,v0,1.3.1,,,0,,,,,,,,,
auto-gptq,v0,0.5.1,,,0,,,,,,,,,
autometrics-py,v0,1.0.0,,,0,,,,,,,,,
avro,v0,1.12.0,,,0,,,,,,,,,
ayx-developer-sdk,v0,,,,0,,,,,,,,,
ayx-plugin-cli,v0,,,,0,,,,,,,,,
azure-ai-ml,both,1.31.0,3.10,,0,,,,,,,,,
azure-core,v0,1.32.0,,,0,,,,,,,,,
azure-core-tracing-opentelemetry,both,1.0.0b12,3.9,True,0,,,,,,,,,
azure-monitor-opentelemetry,both,1.8.7,,,0,,,,,,,,,
azure-monitor-opentelemetry-exporter,both,1.0.0b37,3.9,True,0,,,,,,,,,
azure-storage-file-share,v0,12.24.0,3.10,,0,,,,,,,,,
azure-synapse-nspkg,v0,1.0.0,,,0,,,,,,,,,
azure-synapse-spark,v0,0.7.0,,,0,,,,,,,,,
bandit,v0,1.7.9,,,0,,,,,,,,,
basedmypy,v0,2.1.0,,,0,,,,,,,,,
basedtyping,v0,0.0.3,,,0,,,,,,,,,
batrachian-toad,v1,0.5.6,3.14,,0,,,,,,,,,
bcp47,v0,0.0.4,,,0,,,,,,,,,
behave,both,1.3.1,,,0,,,,,,,,,
behave-django,v0,1.5.0,,,0,,,,,,,,,
behave-html-formatter,v1,0.9.10,3.9,True,0,,,,,,,,,
behave-html-pretty-formatter,both,1.15,3.10,,0,,,,,,,,,
behave-pandas,v1,0.5.0,3.9,True,0,,,,,,,,,
